Date,Start_Hour,End_Hour,Source,Season,Production,Day_of_Year,Day_Name,Month_Name
9/12/2024,1,2,Wind,Fall,4725,256,Thursday,September
7/17/2021,1,2,Wind,Summer,2929,198,Saturday,July
4/23/2023,17,18,Wind,Spring,16075,113,Sunday,April
9/25/2022,12,13,Solar,Fall,6161,268,Sunday,September
12/1/2024,12,13,Wind,Winter,10028,336,Sunday,December
1/21/2024,21,22,Wind,Winter,16235,21,Sunday,January
12/31/2024,23,0,Wind,Winter,10602,366,Tuesday,December
8/2/2025,0,1,Wind,Summer,4160,214,Saturday,August
11/9/2022,12,13,Wind,Fall,7650,313,Wednesday,November
6/16/2024,22,23,Wind,Summer,2549,168,Sunday,June
5/28/2020,14,15,Solar,Spring,7591,149,Thursday,May
11/24/2025,17,18,Wind,Fall,11121,328,Monday,November
6/23/2021,3,4,Wind,Summer,2688,174,Wednesday,June
9/4/2022,9,10,Solar,Fall,4056,247,Sunday,September
11/21/2021,6,7,Wind,Fall,569,325,Sunday,November
5/27/2023,17,18,Solar,Spring,6146,147,Saturday,May
9/16/2025,21,22,Wind,Fall,3074,259,Tuesday,September
3/7/2020,3,4,Wind,Spring,3332,67,Saturday,March
9/16/2022,20,21,Wind,Fall,4896,259,Friday,September
4/1/2025,12,13,Wind,Spring,18978,91,Tuesday,April
3/20/2024,12,13,Solar,Spring,7394,80,Wednesday,March
4/9/2020,15,16,Solar,Spring,4576,100,Thursday,April
5/18/2024,13,14,Solar,Spring,3058,139,Saturday,May
10/28/2021,6,7,Wind,Fall,5836,301,Thursday,October
3/23/2021,23,0,Wind,Spring,1340,82,Tuesday,March
5/22/2023,22,23,Wind,Spring,5407,142,Monday,May
6/25/2022,18,19,Wind,Summer,4491,176,Saturday,June
4/17/2024,14,15,Wind,Spring,13351,108,Wednesday,April
7/18/2021,23,0,Wind,Summer,6890,199,Sunday,July
4/19/2020,15,16,Wind,Spring,3193,110,Sunday,April
10/12/2023,6,7,Wind,Fall,4319,285,Thursday,October
3/15/2022,18,19,Wind,Spring,2580,74,Tuesday,March
1/11/2025,19,20,Wind,Winter,2507,11,Saturday,January
10/13/2023,15,16,Wind,Fall,17641,286,Friday,October
3/12/2021,8,9,Wind,Spring,10511,71,Friday,March
4/20/2022,5,6,Wind,Spring,4689,110,Wednesday,April
11/17/2025,16,17,Wind,Fall,8101,321,Monday,November
4/28/2025,13,14,Solar,Spring,4939,118,Monday,April
5/17/2020,22,23,Wind,Spring,2263,138,Sunday,May
4/2/2024,21,22,Wind,Spring,8880,93,Tuesday,April
5/19/2022,16,17,Solar,Spring,7748,139,Thursday,May
12/14/2023,4,5,Wind,Winter,7008,348,Thursday,December
7/20/2025,4,5,Wind,Summer,4069,201,Sunday,July
7/8/2020,10,11,Solar,Summer,5097,190,Wednesday,July
4/26/2024,22,23,Wind,Spring,3763,117,Friday,April
8/29/2023,17,18,Solar,Summer,5120,241,Tuesday,August
11/17/2022,23,0,Wind,Fall,8902,321,Thursday,November
11/20/2025,4,5,Wind,Fall,7695,324,Thursday,November
7/11/2023,4,5,Wind,Summer,1935,192,Tuesday,July
1/27/2021,18,19,Wind,Winter,4009,27,Wednesday,January
10/9/2020,11,12,Wind,Fall,4222,283,Friday,October
11/25/2021,14,15,Wind,Fall,3710,329,Thursday,November
12/13/2020,14,15,Wind,Winter,7343,348,Sunday,December
6/24/2020,19,20,Wind,Summer,3291,176,Wednesday,June
10/18/2020,8,9,Wind,Fall,1059,292,Sunday,October
4/17/2020,0,1,Wind,Spring,2220,108,Friday,April
10/25/2022,2,3,Wind,Fall,5694,298,Tuesday,October
3/24/2023,15,16,Wind,Spring,17590,83,Friday,March
9/30/2022,19,20,Wind,Fall,6940,273,Friday,September
6/1/2024,5,6,Wind,Summer,5758,153,Saturday,June
11/10/2025,16,17,Wind,Fall,9768,314,Monday,November
2/22/2024,9,10,Wind,Winter,17056,53,Thursday,February
9/24/2021,16,17,Solar,Fall,3933,267,Friday,September
11/8/2023,19,20,Wind,Fall,14862,312,Wednesday,November
7/15/2022,8,9,Wind,Summer,3844,196,Friday,July
4/4/2024,16,17,Wind,Spring,18160,95,Thursday,April
8/3/2025,6,7,Wind,Summer,1968,215,Sunday,August
8/16/2020,0,1,Wind,Summer,1831,229,Sunday,August
10/26/2023,6,7,Wind,Fall,5403,299,Thursday,October
7/2/2023,7,8,Wind,Summer,2703,183,Sunday,July
12/11/2022,18,19,Wind,Winter,1499,345,Sunday,December
12/7/2022,0,1,Wind,Winter,2427,341,Wednesday,December
5/28/2025,9,10,Wind,Spring,14628,148,Wednesday,May
7/4/2024,11,12,Wind,Summer,11596,186,Thursday,July
6/20/2020,14,15,Solar,Summer,4334,172,Saturday,June
10/27/2025,19,20,Wind,Fall,9625,300,Monday,October
2/21/2021,12,13,Wind,Winter,9016,52,Sunday,February
1/3/2025,14,15,Wind,Winter,5219,3,Friday,January
2/13/2025,0,1,Wind,Winter,1016,44,Thursday,February
6/23/2021,17,18,Wind,Summer,4314,174,Wednesday,June
8/17/2020,0,1,Wind,Summer,2055,230,Monday,August
8/12/2023,12,13,Solar,Summer,7944,224,Saturday,August
1/22/2025,11,12,Wind,Winter,6748,22,Wednesday,January
9/14/2025,14,15,Wind,Fall,7618,257,Sunday,September
11/8/2021,10,11,Solar,Fall,3832,312,Monday,November
1/3/2021,23,0,Wind,Winter,2060,3,Sunday,January
6/15/2021,6,7,Wind,Summer,1647,166,Tuesday,June
11/1/2024,16,17,Solar,Fall,1612,306,Friday,November
11/25/2024,11,12,Wind,Fall,12852,330,Monday,November
2/21/2021,17,18,Wind,Winter,5918,52,Sunday,February
5/15/2020,16,17,Wind,Spring,5825,136,Friday,May
11/19/2023,5,6,Wind,Fall,11783,323,Sunday,November
6/10/2021,21,22,Wind,Summer,1475,161,Thursday,June
7/18/2022,15,16,Solar,Summer,7346,199,Monday,July
11/22/2021,4,5,Wind,Fall,8247,326,Monday,November
1/18/2022,15,16,Wind,Winter,4530,18,Tuesday,January
7/16/2025,3,4,Wind,Summer,7222,197,Wednesday,July
1/27/2022,20,21,Wind,Winter,3833,27,Thursday,January
3/29/2024,3,4,Wind,Spring,10394,89,Friday,March
8/23/2025,18,19,Solar,Summer,5153,235,Saturday,August
3/4/2023,19,20,Wind,Spring,3414,63,Saturday,March
4/25/2022,4,5,Wind,Spring,3390,115,Monday,April
5/25/2020,21,22,Wind,Spring,2713,146,Monday,May
6/6/2025,12,13,Wind,Summer,7272,157,Friday,June
1/6/2020,0,1,Wind,Winter,2280,6,Monday,January
6/30/2023,18,19,Wind,Summer,8277,181,Friday,June
9/3/2024,8,9,Solar,Fall,1421,247,Tuesday,September
8/10/2024,12,13,Solar,Summer,4442,223,Saturday,August
2/12/2024,20,21,Wind,Winter,3368,43,Monday,February
7/16/2023,23,0,Wind,Summer,2997,197,Sunday,July
4/5/2025,19,20,Wind,Spring,6203,95,Saturday,April
8/15/2022,16,17,Solar,Summer,7560,227,Monday,August
3/28/2021,21,22,Wind,Spring,2629,87,Sunday,March
7/2/2024,21,22,Wind,Summer,3140,184,Tuesday,July
10/14/2021,9,10,Wind,Fall,3533,287,Thursday,October
3/22/2020,22,23,Wind,Spring,9398,82,Sunday,March
4/12/2021,13,14,Solar,Spring,6529,102,Monday,April
4/3/2020,1,2,Wind,Spring,2592,94,Friday,April
11/28/2022,12,13,Wind,Fall,4959,332,Monday,November
10/22/2020,9,10,Wind,Fall,5024,296,Thursday,October
3/15/2021,3,4,Wind,Spring,10923,74,Monday,March
11/13/2025,20,21,Wind,Fall,12001,317,Thursday,November
4/5/2022,5,6,Wind,Spring,6452,95,Tuesday,April
4/28/2021,14,15,Solar,Spring,4079,118,Wednesday,April
7/24/2022,6,7,Wind,Summer,969,205,Sunday,July
9/14/2020,7,8,Wind,Fall,2828,258,Monday,September
6/15/2020,4,5,Wind,Summer,2126,167,Monday,June
11/1/2020,19,20,Wind,Fall,11879,306,Sunday,November
8/16/2022,9,10,Solar,Summer,2904,228,Tuesday,August
7/26/2021,4,5,Wind,Summer,1922,207,Monday,July
4/4/2022,18,19,Wind,Spring,11731,94,Monday,April
12/13/2024,14,15,Solar,Winter,2515,348,Friday,December
5/28/2020,15,16,Wind,Spring,7608,149,Thursday,May
9/18/2022,6,7,Wind,Fall,2221,261,Sunday,September
8/22/2024,12,13,Solar,Summer,7995,235,Thursday,August
5/26/2022,12,13,Solar,Spring,6717,146,Thursday,May
9/14/2025,3,4,Wind,Fall,4181,257,Sunday,September
9/14/2020,8,9,Wind,Fall,3313,258,Monday,September
3/16/2025,19,20,Wind,Spring,5740,75,Sunday,March
10/1/2021,20,21,Wind,Fall,4953,274,Friday,October
4/21/2023,1,2,Wind,Spring,3355,111,Friday,April
9/6/2022,12,13,Solar,Fall,6967,249,Tuesday,September
3/13/2020,21,22,Wind,Spring,1697,73,Friday,March
4/10/2022,2,3,Wind,Spring,1338,100,Sunday,April
1/30/2022,10,11,Solar,Winter,2888,30,Sunday,January
10/21/2022,15,16,Wind,Fall,8982,294,Friday,October
3/4/2021,9,10,Solar,Spring,1941,63,Thursday,March
1/22/2024,15,16,Wind,Winter,16804,22,Monday,January
1/16/2025,0,1,Wind,Winter,3652,16,Thursday,January
11/13/2021,12,13,Wind,Fall,5041,317,Saturday,November
6/23/2022,20,21,Wind,Summer,1923,174,Thursday,June
12/16/2023,14,15,Solar,Winter,4910,350,Saturday,December
4/11/2022,3,4,Wind,Spring,9882,101,Monday,April
10/29/2021,14,15,Wind,Fall,11979,302,Friday,October
7/9/2020,7,8,Wind,Summer,1479,191,Thursday,July
4/25/2021,15,16,Wind,Spring,8987,115,Sunday,April
10/9/2020,19,20,Wind,Fall,2696,283,Friday,October
11/19/2021,13,14,Solar,Fall,3762,323,Friday,November
12/30/2022,6,7,Wind,Winter,11436,364,Friday,December
6/13/2023,23,0,Wind,Summer,5004,164,Tuesday,June
3/10/2020,2,3,Wind,Spring,12278,70,Tuesday,March
4/14/2025,10,11,Solar,Spring,6031,104,Monday,April
4/30/2024,11,12,Solar,Spring,7683,121,Tuesday,April
9/12/2022,16,17,Solar,Fall,5140,255,Monday,September
10/20/2022,14,15,Wind,Fall,8558,293,Thursday,October
11/30/2023,0,1,Wind,Fall,2128,334,Thursday,November
1/6/2020,23,0,Wind,Winter,5850,6,Monday,January
6/13/2021,18,19,Solar,Summer,3933,164,Sunday,June
12/7/2024,15,16,Wind,Winter,19810,342,Saturday,December
4/10/2025,1,2,Wind,Spring,10031,100,Thursday,April
2/21/2021,10,11,Wind,Winter,9217,52,Sunday,February
9/20/2022,4,5,Wind,Fall,2045,263,Tuesday,September
9/14/2025,23,0,Wind,Fall,15838,257,Sunday,September
6/25/2020,13,14,Solar,Summer,5081,177,Thursday,June
3/10/2022,18,19,Wind,Spring,4082,69,Thursday,March
6/14/2025,10,11,Solar,Summer,4291,165,Saturday,June
10/20/2021,0,1,Wind,Fall,10970,293,Wednesday,October
8/8/2021,21,22,Wind,Summer,3163,220,Sunday,August
2/5/2023,5,6,Wind,Winter,4222,36,Sunday,February
8/9/2021,2,3,Wind,Summer,2945,221,Monday,August
5/12/2025,8,9,Solar,Spring,3901,132,Monday,May
4/19/2024,1,2,Wind,Spring,5665,110,Friday,April
4/18/2025,23,0,Wind,Spring,9612,108,Friday,April
1/6/2023,16,17,Wind,Winter,6433,6,Friday,January
7/17/2020,19,20,Wind,Summer,2771,199,Friday,July
7/26/2023,23,0,Wind,Summer,3577,207,Wednesday,July
1/23/2024,2,3,Wind,Winter,12747,23,Tuesday,January
6/25/2020,10,11,Solar,Summer,3414,177,Thursday,June
6/1/2024,16,17,Wind,Summer,6915,153,Saturday,June
4/23/2024,8,9,Wind,Spring,4892,114,Tuesday,April
7/16/2020,6,7,Wind,Summer,1388,198,Thursday,July
5/28/2020,6,7,Wind,Spring,3981,149,Thursday,May
4/5/2020,7,8,Wind,Spring,7671,96,Sunday,April
1/11/2020,6,7,Wind,Winter,2912,11,Saturday,January
6/25/2021,13,14,Solar,Summer,5806,176,Friday,June
1/27/2020,14,15,Wind,Winter,9340,27,Monday,January
6/12/2022,9,10,Solar,Summer,3891,163,Sunday,June
9/5/2024,11,12,Solar,Fall,7606,249,Thursday,September
10/12/2021,1,2,Wind,Fall,3046,285,Tuesday,October
5/29/2025,21,22,Wind,Spring,1207,149,Thursday,May
5/31/2022,1,2,Wind,Spring,2019,151,Tuesday,May
10/18/2025,21,22,Wind,Fall,6350,291,Saturday,October
2/23/2021,10,11,Wind,Winter,9360,54,Tuesday,February
7/5/2021,11,12,Solar,Summer,7031,186,Monday,July
9/13/2025,17,18,Wind,Fall,12059,256,Saturday,September
3/22/2024,8,9,Solar,Spring,4072,82,Friday,March
12/24/2024,7,8,Wind,Winter,3075,359,Tuesday,December
6/9/2024,3,4,Wind,Summer,3734,161,Sunday,June
1/9/2021,13,14,Wind,Winter,6317,9,Saturday,January
6/5/2020,12,13,Wind,Summer,13242,157,Friday,June
9/4/2025,13,14,Wind,Fall,14863,247,Thursday,September
12/18/2023,16,17,Wind,Winter,2994,352,Monday,December
7/9/2025,6,7,Wind,Summer,1676,190,Wednesday,July
9/14/2024,17,18,Solar,Fall,7606,258,Saturday,September
6/20/2025,19,20,Wind,Summer,4544,171,Friday,June
2/11/2022,18,19,Wind,Winter,1753,42,Friday,February
4/14/2020,16,17,Wind,Spring,8019,105,Tuesday,April
11/23/2023,11,12,Solar,Fall,7232,327,Thursday,November
5/6/2023,8,9,Solar,Spring,2948,126,Saturday,May
6/9/2021,1,2,Wind,Summer,1569,160,Wednesday,June
8/25/2020,6,7,Wind,Summer,3959,238,Tuesday,August
2/28/2022,15,16,Solar,Winter,5659,59,Monday,February
3/12/2024,17,18,Wind,Spring,10459,72,Tuesday,March
7/23/2024,21,22,Wind,Summer,2927,205,Tuesday,July
7/19/2024,0,1,Wind,Summer,1662,201,Friday,July
2/23/2024,14,15,Wind,Winter,15612,54,Friday,February
9/3/2022,10,11,Solar,Fall,4020,246,Saturday,September
3/13/2023,1,2,Wind,Spring,14233,72,Monday,March
4/13/2024,7,8,Wind,Spring,2307,104,Saturday,April
7/30/2021,20,21,Wind,Summer,8655,211,Friday,July
1/22/2025,9,10,Wind,Winter,6315,22,Wednesday,January
11/6/2022,23,0,Wind,Fall,11081,310,Sunday,November
5/15/2022,9,10,Solar,Spring,5538,135,Sunday,May
10/9/2024,10,11,Wind,Fall,11747,283,Wednesday,October
3/24/2020,18,19,Wind,Spring,4898,84,Tuesday,March
12/29/2023,13,14,Wind,Winter,15847,363,Friday,December
7/1/2024,0,1,Wind,Summer,2760,183,Monday,July
11/24/2021,19,20,Wind,Fall,2095,328,Wednesday,November
7/13/2024,23,0,Wind,Summer,334,195,Saturday,July
12/1/2021,14,15,Wind,Winter,11647,335,Wednesday,December
4/26/2020,22,23,Wind,Spring,457,117,Sunday,April
8/16/2024,23,0,Wind,Summer,1612,229,Friday,August
4/14/2025,14,15,Solar,Spring,9083,104,Monday,April
5/17/2021,17,18,Wind,Spring,13497,137,Monday,May
9/19/2021,15,16,Solar,Fall,5286,262,Sunday,September
10/24/2025,23,0,Wind,Fall,14144,297,Friday,October
10/2/2023,16,17,Solar,Fall,7676,275,Monday,October
4/14/2020,6,7,Wind,Spring,6514,105,Tuesday,April
2/5/2020,13,14,Solar,Winter,3963,36,Wednesday,February
10/21/2025,22,23,Wind,Fall,6166,294,Tuesday,October
4/1/2022,7,8,Wind,Spring,9016,91,Friday,April
3/21/2020,4,5,Wind,Spring,7299,81,Saturday,March
1/2/2023,11,12,Wind,Winter,6422,2,Monday,January
2/20/2021,21,22,Wind,Winter,12255,51,Saturday,February
8/24/2025,10,11,Solar,Summer,4112,236,Sunday,August
5/6/2022,11,12,Solar,Spring,6911,126,Friday,May
11/12/2024,7,8,Wind,Fall,10329,317,Tuesday,November
12/8/2022,7,8,Wind,Winter,1250,342,Thursday,December
4/30/2020,19,20,Wind,Spring,11566,121,Thursday,April
5/8/2021,22,23,Wind,Spring,5551,128,Saturday,May
4/20/2020,1,2,Wind,Spring,5535,111,Monday,April
1/18/2022,2,3,Wind,Winter,2430,18,Tuesday,January
2/9/2025,0,1,Wind,Winter,3868,40,Sunday,February
12/28/2023,7,8,Wind,Winter,13513,362,Thursday,December
1/29/2022,11,12,Wind,Winter,9867,29,Saturday,January
11/23/2022,8,9,Wind,Fall,9532,327,Wednesday,November
10/19/2025,10,11,Wind,Fall,10350,292,Sunday,October
5/14/2025,7,8,Solar,Spring,1719,134,Wednesday,May
11/19/2023,1,2,Wind,Fall,11829,323,Sunday,November
10/22/2022,10,11,Wind,Fall,5156,295,Saturday,October
7/28/2025,3,4,Wind,Summer,4437,209,Monday,July
8/19/2023,5,6,Wind,Summer,3735,231,Saturday,August
12/15/2024,0,1,Wind,Winter,4485,350,Sunday,December
1/11/2021,5,6,Wind,Winter,2139,11,Monday,January
5/2/2021,19,20,Wind,Spring,1824,122,Sunday,May
11/12/2022,10,11,Solar,Fall,5330,316,Saturday,November
5/18/2024,11,12,Solar,Spring,4830,139,Saturday,May
1/24/2020,3,4,Wind,Winter,2178,24,Friday,January
8/7/2024,12,13,Solar,Summer,7806,220,Wednesday,August
12/19/2023,7,8,Wind,Winter,7637,353,Tuesday,December
7/29/2022,9,10,Solar,Summer,1886,210,Friday,July
4/10/2024,7,8,Wind,Spring,3567,101,Wednesday,April
1/8/2021,21,22,Wind,Winter,934,8,Friday,January
11/10/2024,4,5,Wind,Fall,728,315,Sunday,November
3/23/2021,3,4,Wind,Spring,2297,82,Tuesday,March
3/18/2024,7,8,Wind,Spring,2408,78,Monday,March
7/18/2023,7,8,Wind,Summer,3248,199,Tuesday,July
5/15/2025,19,20,Wind,Spring,11522,135,Thursday,May
5/6/2022,14,15,Solar,Spring,6812,126,Friday,May
5/17/2025,12,13,Solar,Spring,5378,137,Saturday,May
1/25/2023,19,20,Wind,Winter,1865,25,Wednesday,January
11/6/2023,20,21,Wind,Fall,9476,310,Monday,November
6/4/2023,10,11,Solar,Summer,7001,155,Sunday,June
4/17/2023,13,14,Solar,Spring,10082,107,Monday,April
2/21/2021,15,16,Wind,Winter,7525,52,Sunday,February
2/15/2021,9,10,Wind,Winter,11289,46,Monday,February
8/3/2023,5,6,Wind,Summer,12714,215,Thursday,August
5/27/2025,9,10,Wind,Spring,13251,147,Tuesday,May
5/24/2023,5,6,Wind,Spring,6672,144,Wednesday,May
12/16/2024,7,8,Wind,Winter,7127,351,Monday,December
9/2/2022,5,6,Wind,Fall,1940,245,Friday,September
4/16/2025,13,14,Solar,Spring,7798,106,Wednesday,April
6/6/2020,13,14,Wind,Summer,10873,158,Saturday,June
8/20/2024,9,10,Solar,Summer,6256,233,Tuesday,August
11/13/2024,18,19,Wind,Fall,5201,318,Wednesday,November
3/21/2023,4,5,Wind,Spring,4145,80,Tuesday,March
4/29/2022,12,13,Solar,Spring,6673,119,Friday,April
3/18/2023,14,15,Wind,Spring,10327,77,Saturday,March
5/27/2020,14,15,Solar,Spring,6923,148,Wednesday,May
11/8/2020,15,16,Wind,Fall,2718,313,Sunday,November
9/14/2022,2,3,Wind,Fall,1837,257,Wednesday,September
12/15/2021,1,2,Wind,Winter,1197,349,Wednesday,December
12/8/2020,22,23,Wind,Winter,2543,343,Tuesday,December
7/29/2025,6,7,Wind,Summer,2489,210,Tuesday,July
12/26/2020,0,1,Wind,Winter,3607,361,Saturday,December
11/6/2020,4,5,Wind,Fall,6681,311,Friday,November
3/31/2023,13,14,Wind,Spring,21624,90,Friday,March
4/2/2023,21,22,Wind,Spring,7144,92,Sunday,April
1/11/2022,2,3,Wind,Winter,2621,11,Tuesday,January
3/16/2020,20,21,Wind,Spring,1348,76,Monday,March
8/26/2021,13,14,Solar,Summer,8454,238,Thursday,August
7/5/2023,9,10,Wind,Summer,10340,186,Wednesday,July
5/3/2022,8,9,Wind,Spring,3293,123,Tuesday,May
8/10/2021,4,5,Wind,Summer,1235,222,Tuesday,August
8/22/2020,14,15,Wind,Summer,11599,235,Saturday,August
5/6/2022,3,4,Wind,Spring,3327,126,Friday,May
8/26/2025,13,14,Solar,Summer,10719,238,Tuesday,August
9/24/2021,17,18,Solar,Fall,2890,267,Friday,September
1/3/2023,17,18,Wind,Winter,8994,3,Tuesday,January
10/9/2023,7,8,Wind,Fall,1140,282,Monday,October
3/15/2022,23,0,Wind,Spring,4205,74,Tuesday,March
10/25/2022,18,19,Wind,Fall,4686,298,Tuesday,October
12/30/2024,11,12,Solar,Winter,2963,365,Monday,December
3/10/2023,17,18,Wind,Spring,11697,69,Friday,March
5/6/2023,13,14,Solar,Spring,7109,126,Saturday,May
10/10/2020,9,10,Wind,Fall,2717,284,Saturday,October
2/19/2023,18,19,Wind,Winter,2222,50,Sunday,February
9/13/2022,14,15,Solar,Fall,5433,256,Tuesday,September
10/15/2023,3,4,Wind,Fall,2777,288,Sunday,October
1/1/2022,1,2,Wind,Winter,3210,1,Saturday,January
5/14/2021,12,13,Wind,Spring,7647,134,Friday,May
11/4/2025,23,0,Wind,Fall,12730,308,Tuesday,November
1/29/2024,3,4,Wind,Winter,7443,29,Monday,January
1/13/2025,10,11,Wind,Winter,7719,13,Monday,January
7/6/2023,21,22,Wind,Summer,868,187,Thursday,July
3/14/2020,21,22,Wind,Spring,3347,74,Saturday,March
12/24/2023,15,16,Wind,Winter,17075,358,Sunday,December
4/6/2025,1,2,Wind,Spring,9135,96,Sunday,April
10/3/2024,3,4,Wind,Fall,5240,277,Thursday,October
3/6/2022,22,23,Wind,Spring,7705,65,Sunday,March
9/7/2022,18,19,Wind,Fall,4483,250,Wednesday,September
1/4/2024,17,18,Wind,Winter,11934,4,Thursday,January
3/24/2021,8,9,Solar,Spring,2756,83,Wednesday,March
3/31/2023,11,12,Wind,Spring,20332,90,Friday,March
2/14/2021,16,17,Wind,Winter,9781,45,Sunday,February
11/29/2020,22,23,Wind,Fall,2194,334,Sunday,November
5/23/2025,3,4,Wind,Spring,3654,143,Friday,May
2/28/2024,18,19,Wind,Winter,3872,59,Wednesday,February
8/13/2020,8,9,Wind,Summer,1977,226,Thursday,August
2/10/2022,7,8,Wind,Winter,5427,41,Thursday,February
5/22/2020,20,21,Wind,Spring,2791,143,Friday,May
3/7/2020,5,6,Wind,Spring,2626,67,Saturday,March
2/28/2025,22,23,Wind,Winter,7187,59,Friday,February
6/17/2023,10,11,Solar,Summer,5207,168,Saturday,June
10/8/2022,21,22,Wind,Fall,2338,281,Saturday,October
4/26/2020,16,17,Solar,Spring,2886,117,Sunday,April
1/21/2025,23,0,Wind,Winter,7139,21,Tuesday,January
5/18/2024,17,18,Solar,Spring,5382,139,Saturday,May
10/24/2023,20,21,Wind,Fall,5052,297,Tuesday,October
9/27/2025,1,2,Wind,Fall,475,270,Saturday,September
6/2/2025,1,2,Wind,Summer,3073,153,Monday,June
10/13/2021,23,0,Wind,Fall,2129,286,Wednesday,October
2/25/2022,15,16,Wind,Winter,8739,56,Friday,February
12/24/2023,10,11,Wind,Winter,17796,358,Sunday,December
11/19/2025,7,8,Wind,Fall,11799,323,Wednesday,November
4/29/2023,21,22,Wind,Spring,2588,119,Saturday,April
4/23/2023,13,14,Wind,Spring,15150,113,Sunday,April
9/13/2021,10,11,Solar,Fall,3635,256,Monday,September
8/17/2020,4,5,Wind,Summer,1804,230,Monday,August
3/13/2020,16,17,Wind,Spring,5262,73,Friday,March
7/18/2021,18,19,Wind,Summer,9318,199,Sunday,July
9/1/2025,17,18,Wind,Fall,10390,244,Monday,September
5/25/2020,16,17,Solar,Spring,5450,146,Monday,May
11/10/2024,17,18,Wind,Fall,1524,315,Sunday,November
9/30/2022,13,14,Solar,Fall,7262,273,Friday,September
5/18/2021,19,20,Wind,Spring,3940,138,Tuesday,May
8/10/2024,20,21,Wind,Summer,1226,223,Saturday,August
3/25/2021,4,5,Wind,Spring,1928,84,Thursday,March
10/30/2025,11,12,Solar,Fall,9665,303,Thursday,October
10/26/2022,1,2,Wind,Fall,7207,299,Wednesday,October
8/27/2020,13,14,Solar,Summer,6251,240,Thursday,August
4/27/2021,14,15,Solar,Spring,3324,117,Tuesday,April
5/7/2025,8,9,Wind,Spring,7619,127,Wednesday,May
6/26/2024,11,12,Solar,Summer,6737,178,Wednesday,June
8/9/2023,7,8,Wind,Summer,1969,221,Wednesday,August
1/25/2022,17,18,Solar,Winter,267,25,Tuesday,January
9/3/2020,2,3,Wind,Fall,978,247,Thursday,September
2/11/2020,23,0,Wind,Winter,9400,42,Tuesday,February
7/9/2022,1,2,Wind,Summer,3653,190,Saturday,July
8/4/2024,13,14,Solar,Summer,4818,217,Sunday,August
6/25/2022,4,5,Wind,Summer,3209,176,Saturday,June
12/7/2024,4,5,Wind,Winter,18556,342,Saturday,December
9/4/2020,8,9,Wind,Fall,1720,248,Friday,September
1/1/2022,19,20,Wind,Winter,5238,1,Saturday,January
5/8/2023,2,3,Wind,Spring,1701,128,Monday,May
4/22/2021,19,20,Wind,Spring,5590,112,Thursday,April
2/17/2021,0,1,Wind,Winter,9265,48,Wednesday,February
3/3/2020,6,7,Wind,Spring,4440,63,Tuesday,March
11/8/2023,15,16,Wind,Fall,16223,312,Wednesday,November
8/14/2023,2,3,Wind,Summer,1693,226,Monday,August
1/10/2023,5,6,Wind,Winter,7343,10,Tuesday,January
12/22/2021,20,21,Wind,Winter,5561,356,Wednesday,December
8/10/2024,2,3,Wind,Summer,1755,223,Saturday,August
11/14/2023,14,15,Wind,Fall,16988,318,Tuesday,November
3/17/2024,15,16,Solar,Spring,6096,77,Sunday,March
9/7/2021,16,17,Wind,Fall,6840,250,Tuesday,September
11/16/2025,21,22,Wind,Fall,4414,320,Sunday,November
7/15/2020,22,23,Wind,Summer,1874,197,Wednesday,July
10/8/2025,21,22,Wind,Fall,2608,281,Wednesday,October
6/9/2025,23,0,Wind,Summer,605,160,Monday,June
7/14/2020,3,4,Wind,Summer,2443,196,Tuesday,July
10/9/2022,6,7,Wind,Fall,4887,282,Sunday,October
5/28/2020,1,2,Wind,Spring,5340,149,Thursday,May
12/25/2021,15,16,Solar,Winter,1223,359,Saturday,December
8/2/2023,21,22,Wind,Summer,15855,214,Wednesday,August
1/9/2021,23,0,Wind,Winter,5323,9,Saturday,January
2/7/2022,22,23,Wind,Winter,4802,38,Monday,February
10/24/2022,23,0,Wind,Fall,7058,297,Monday,October
5/24/2025,16,17,Wind,Spring,14446,144,Saturday,May
1/11/2022,8,9,Wind,Winter,2912,11,Tuesday,January
12/21/2022,3,4,Wind,Winter,5032,355,Wednesday,December
12/17/2024,10,11,Wind,Winter,5491,352,Tuesday,December
1/30/2021,13,14,Wind,Winter,8786,30,Saturday,January
10/4/2020,16,17,Wind,Fall,11664,278,Sunday,October
5/29/2025,17,18,Solar,Spring,8272,149,Thursday,May
11/25/2024,10,11,Wind,Fall,12969,330,Monday,November
1/26/2020,13,14,Wind,Winter,4437,26,Sunday,January
3/3/2023,22,23,Wind,Spring,5574,62,Friday,March
6/2/2025,14,15,Solar,Summer,6266,153,Monday,June
6/24/2022,3,4,Wind,Summer,1971,175,Friday,June
3/20/2024,0,1,Wind,Spring,1924,80,Wednesday,March
10/12/2023,17,18,Wind,Fall,5820,285,Thursday,October
9/24/2022,1,2,Wind,Fall,1028,267,Saturday,September
2/6/2020,21,22,Wind,Winter,5819,37,Thursday,February
6/9/2024,2,3,Wind,Summer,3682,161,Sunday,June
4/19/2020,10,11,Wind,Spring,2602,110,Sunday,April
9/28/2022,14,15,Wind,Fall,6080,271,Wednesday,September
11/28/2025,14,15,Wind,Fall,8799,332,Friday,November
10/5/2024,23,0,Wind,Fall,8967,279,Saturday,October
7/24/2020,21,22,Wind,Summer,1760,206,Friday,July
